cluster,class,path
0,org.apache.hadoop.mapreduce.checkpoint.CheckpointID,checkpoint/CheckpointID.java
0,org.apache.hadoop.mapreduce.checkpoint.CheckpointNamingService,checkpoint/CheckpointNamingService.java
0,org.apache.hadoop.mapreduce.checkpoint.CheckpointService,checkpoint/CheckpointService.java
0,org.apache.hadoop.mapreduce.checkpoint.EnumCounter,checkpoint/EnumCounter.java
0,org.apache.hadoop.mapreduce.checkpoint.FSCheckpointID,checkpoint/FSCheckpointID.java
0,org.apache.hadoop.mapreduce.checkpoint.FSCheckpointService,checkpoint/FSCheckpointService.java
0,org.apache.hadoop.mapreduce.checkpoint.RandomNameCNS,checkpoint/RandomNameCNS.java
0,org.apache.hadoop.mapreduce.checkpoint.SimpleNamingService,checkpoint/SimpleNamingService.java
0,org.apache.hadoop.mapreduce.checkpoint.TaskCheckpointID,checkpoint/TaskCheckpointID.java
1,org.apache.hadoop.mapreduce.FileSystemCounter,FileSystemCounter.java
1,org.apache.hadoop.mapreduce.counters.AbstractCounters,counters/AbstractCounters.java
1,org.apache.hadoop.mapreduce.counters.FileSystemCounterGroup,counters/FileSystemCounterGroup.java
1,org.apache.hadoop.mapreduce.counters.FrameworkCounterGroup,counters/FrameworkCounterGroup.java
1,org.apache.hadoop.mapreduce.util.ResourceBundles,util/ResourceBundles.java
2,org.apache.hadoop.mapreduce.jobhistory.AMStartedEvent,jobhistory/AMStartedEvent.java
2,org.apache.hadoop.mapreduce.jobhistory.AvroArrayUtils,jobhistory/AvroArrayUtils.java
2,org.apache.hadoop.mapreduce.jobhistory.EventReader,jobhistory/EventReader.java
2,org.apache.hadoop.mapreduce.jobhistory.EventWriter,jobhistory/EventWriter.java
2,org.apache.hadoop.mapreduce.jobhistory.HistoryEvent,jobhistory/HistoryEvent.java
2,org.apache.hadoop.mapreduce.jobhistory.HistoryEventHandler,jobhistory/HistoryEventHandler.java
2,org.apache.hadoop.mapreduce.jobhistory.HistoryViewer,jobhistory/HistoryViewer.java
2,org.apache.hadoop.mapreduce.jobhistory.HistoryViewerPrinter,jobhistory/HistoryViewerPrinter.java
2,org.apache.hadoop.mapreduce.jobhistory.HumanReadableHistoryViewerPrinter,jobhistory/HumanReadableHistoryViewerPrinter.java
2,org.apache.hadoop.mapreduce.jobhistory.JSONHistoryViewerPrinter,jobhistory/JSONHistoryViewerPrinter.java
2,org.apache.hadoop.mapreduce.jobhistory.JobFinishedEvent,jobhistory/JobFinishedEvent.java
2,org.apache.hadoop.mapreduce.jobhistory.JobHistoryParser,jobhistory/JobHistoryParser.java
2,org.apache.hadoop.mapreduce.jobhistory.JobInfoChangeEvent,jobhistory/JobInfoChangeEvent.java
2,org.apache.hadoop.mapreduce.jobhistory.JobInitedEvent,jobhistory/JobInitedEvent.java
2,org.apache.hadoop.mapreduce.jobhistory.JobPriorityChangeEvent,jobhistory/JobPriorityChangeEvent.java
2,org.apache.hadoop.mapreduce.jobhistory.JobQueueChangeEvent,jobhistory/JobQueueChangeEvent.java
2,org.apache.hadoop.mapreduce.jobhistory.JobStatusChangedEvent,jobhistory/JobStatusChangedEvent.java
2,org.apache.hadoop.mapreduce.jobhistory.JobSubmittedEvent,jobhistory/JobSubmittedEvent.java
2,org.apache.hadoop.mapreduce.jobhistory.JobUnsuccessfulCompletionEvent,jobhistory/JobUnsuccessfulCompletionEvent.java
2,org.apache.hadoop.mapreduce.jobhistory.MapAttemptFinishedEvent,jobhistory/MapAttemptFinishedEvent.java
2,org.apache.hadoop.mapreduce.jobhistory.NormalizedResourceEvent,jobhistory/NormalizedResourceEvent.java
2,org.apache.hadoop.mapreduce.jobhistory.ReduceAttemptFinishedEvent,jobhistory/ReduceAttemptFinishedEvent.java
2,org.apache.hadoop.mapreduce.jobhistory.TaskAttemptFinishedEvent,jobhistory/TaskAttemptFinishedEvent.java
2,org.apache.hadoop.mapreduce.jobhistory.TaskAttemptStartedEvent,jobhistory/TaskAttemptStartedEvent.java
2,org.apache.hadoop.mapreduce.jobhistory.TaskAttemptUnsuccessfulCompletionEvent,jobhistory/TaskAttemptUnsuccessfulCompletionEvent.java
2,org.apache.hadoop.mapreduce.jobhistory.TaskFailedEvent,jobhistory/TaskFailedEvent.java
2,org.apache.hadoop.mapreduce.jobhistory.TaskFinishedEvent,jobhistory/TaskFinishedEvent.java
2,org.apache.hadoop.mapreduce.jobhistory.TaskStartedEvent,jobhistory/TaskStartedEvent.java
2,org.apache.hadoop.mapreduce.jobhistory.TaskUpdatedEvent,jobhistory/TaskUpdatedEvent.java
2,org.apache.hadoop.mapreduce.util.HostUtil,util/HostUtil.java
2,org.apache.hadoop.mapreduce.util.JobHistoryEventUtils,util/JobHistoryEventUtils.java
3,org.apache.hadoop.mapreduce.lib.aggregate.DoubleValueSum,lib/aggregate/DoubleValueSum.java
3,org.apache.hadoop.mapreduce.lib.aggregate.LongValueMax,lib/aggregate/LongValueMax.java
3,org.apache.hadoop.mapreduce.lib.aggregate.LongValueMin,lib/aggregate/LongValueMin.java
3,org.apache.hadoop.mapreduce.lib.aggregate.LongValueSum,lib/aggregate/LongValueSum.java
3,org.apache.hadoop.mapreduce.lib.aggregate.StringValueMax,lib/aggregate/StringValueMax.java
3,org.apache.hadoop.mapreduce.lib.aggregate.StringValueMin,lib/aggregate/StringValueMin.java
3,org.apache.hadoop.mapreduce.lib.aggregate.UniqValueCount,lib/aggregate/UniqValueCount.java
3,org.apache.hadoop.mapreduce.lib.aggregate.UserDefinedValueAggregatorDescriptor,lib/aggregate/UserDefinedValueAggregatorDescriptor.java
3,org.apache.hadoop.mapreduce.lib.aggregate.ValueAggregator,lib/aggregate/ValueAggregator.java
3,org.apache.hadoop.mapreduce.lib.aggregate.ValueAggregatorBaseDescriptor,lib/aggregate/ValueAggregatorBaseDescriptor.java
3,org.apache.hadoop.mapreduce.lib.aggregate.ValueAggregatorCombiner,lib/aggregate/ValueAggregatorCombiner.java
3,org.apache.hadoop.mapreduce.lib.aggregate.ValueAggregatorDescriptor,lib/aggregate/ValueAggregatorDescriptor.java
3,org.apache.hadoop.mapreduce.lib.aggregate.ValueAggregatorJob,lib/aggregate/ValueAggregatorJob.java
3,org.apache.hadoop.mapreduce.lib.aggregate.ValueAggregatorJobBase,lib/aggregate/ValueAggregatorJobBase.java
3,org.apache.hadoop.mapreduce.lib.aggregate.ValueAggregatorMapper,lib/aggregate/ValueAggregatorMapper.java
3,org.apache.hadoop.mapreduce.lib.aggregate.ValueAggregatorReducer,lib/aggregate/ValueAggregatorReducer.java
3,org.apache.hadoop.mapreduce.lib.aggregate.ValueHistogram,lib/aggregate/ValueHistogram.java
4,org.apache.hadoop.mapreduce.ContextFactory,ContextFactory.java
4,org.apache.hadoop.mapreduce.OutputCommitter,OutputCommitter.java
4,org.apache.hadoop.mapreduce.RecordReader,RecordReader.java
4,org.apache.hadoop.mapreduce.RecordWriter,RecordWriter.java
4,org.apache.hadoop.mapreduce.Reducer,Reducer.java
4,org.apache.hadoop.mapreduce.TaskAttemptContext,TaskAttemptContext.java
4,org.apache.hadoop.mapreduce.TaskInputOutputContext,TaskInputOutputContext.java
4,org.apache.hadoop.mapreduce.lib.chain.Chain,lib/chain/Chain.java
4,org.apache.hadoop.mapreduce.lib.chain.ChainMapContextImpl,lib/chain/ChainMapContextImpl.java
4,org.apache.hadoop.mapreduce.lib.chain.ChainMapper,lib/chain/ChainMapper.java
4,org.apache.hadoop.mapreduce.lib.chain.ChainReduceContextImpl,lib/chain/ChainReduceContextImpl.java
4,org.apache.hadoop.mapreduce.lib.chain.ChainReducer,lib/chain/ChainReducer.java
4,org.apache.hadoop.mapreduce.lib.fieldsel.FieldSelectionReducer,lib/fieldsel/FieldSelectionReducer.java
4,org.apache.hadoop.mapreduce.lib.reduce.IntSumReducer,lib/reduce/IntSumReducer.java
4,org.apache.hadoop.mapreduce.lib.reduce.LongSumReducer,lib/reduce/LongSumReducer.java
5,org.apache.hadoop.mapreduce.InputSplit,InputSplit.java
5,org.apache.hadoop.mapreduce.lib.db.BigDecimalSplitter,lib/db/BigDecimalSplitter.java
5,org.apache.hadoop.mapreduce.lib.db.BooleanSplitter,lib/db/BooleanSplitter.java
5,org.apache.hadoop.mapreduce.lib.db.DBConfiguration,lib/db/DBConfiguration.java
5,org.apache.hadoop.mapreduce.lib.db.DBInputFormat,lib/db/DBInputFormat.java
5,org.apache.hadoop.mapreduce.lib.db.DBOutputFormat,lib/db/DBOutputFormat.java
5,org.apache.hadoop.mapreduce.lib.db.DBRecordReader,lib/db/DBRecordReader.java
5,org.apache.hadoop.mapreduce.lib.db.DBSplitter,lib/db/DBSplitter.java
5,org.apache.hadoop.mapreduce.lib.db.DBWritable,lib/db/DBWritable.java
5,org.apache.hadoop.mapreduce.lib.db.DataDrivenDBInputFormat,lib/db/DataDrivenDBInputFormat.java
5,org.apache.hadoop.mapreduce.lib.db.DataDrivenDBRecordReader,lib/db/DataDrivenDBRecordReader.java
5,org.apache.hadoop.mapreduce.lib.db.DateSplitter,lib/db/DateSplitter.java
5,org.apache.hadoop.mapreduce.lib.db.FloatSplitter,lib/db/FloatSplitter.java
5,org.apache.hadoop.mapreduce.lib.db.IntegerSplitter,lib/db/IntegerSplitter.java
5,org.apache.hadoop.mapreduce.lib.db.MySQLDBRecordReader,lib/db/MySQLDBRecordReader.java
5,org.apache.hadoop.mapreduce.lib.db.MySQLDataDrivenDBRecordReader,lib/db/MySQLDataDrivenDBRecordReader.java
5,org.apache.hadoop.mapreduce.lib.db.OracleDBRecordReader,lib/db/OracleDBRecordReader.java
5,org.apache.hadoop.mapreduce.lib.db.OracleDataDrivenDBInputFormat,lib/db/OracleDataDrivenDBInputFormat.java
5,org.apache.hadoop.mapreduce.lib.db.OracleDataDrivenDBRecordReader,lib/db/OracleDataDrivenDBRecordReader.java
5,org.apache.hadoop.mapreduce.lib.db.OracleDateSplitter,lib/db/OracleDateSplitter.java
5,org.apache.hadoop.mapreduce.lib.db.TextSplitter,lib/db/TextSplitter.java
