,W1__ACDC_hadoop_mapreduce_focused__ACDC_hadoop_mapreduce_focused,W1__LIMBO_IL_thresh100_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_IL_100_clusters,W1__LIMBO_IL_thresh20_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_IL_20_clusters,W1__LIMBO_IL_thresh23_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_IL_23_clusters,W1__LIMBO_IL_thresh30_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_IL_30_clusters,W1__LIMBO_IL_thresh50_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_IL_50_clusters,W1__LIMBO_IL_thresh75_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_IL_75_clusters,W1__WCA_UEM_thresh100_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEM_100_clusters,W1__WCA_UEM_thresh20_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEM_20_clusters,W1__WCA_UEM_thresh23_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEM_23_clusters,W1__WCA_UEM_thresh30_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEM_30_clusters,W1__WCA_UEM_thresh50_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEM_50_clusters,W1__WCA_UEM_thresh75_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEM_75_clusters,W1__WCA_UEMNM_thresh100_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEMNM_100_clusters,W1__WCA_UEMNM_thresh20_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEMNM_20_clusters,W1__WCA_UEMNM_thresh23_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEMNM_23_clusters,W1__WCA_UEMNM_thresh30_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEMNM_30_clusters,W1__WCA_UEMNM_thresh50_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEMNM_50_clusters,W1__WCA_UEMNM_thresh75_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEMNM_75_clusters,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.2_k_10,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.2_k_12,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.2_k_15,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.2_k_6,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.2_k_8,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.4_k_10,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.4_k_12,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.4_k_15,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.4_k_6,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.4_k_8,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.6_k_10,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.6_k_12,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.6_k_15,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.6_k_6,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.6_k_8,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.8_k_10,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.8_k_12,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.8_k_15,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.8_k_6,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.8_k_8,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.2_k_10,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.2_k_12,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.2_k_15,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.2_k_6,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.2_k_8,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.4_k_10,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.4_k_12,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.4_k_15,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.4_k_6,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.4_k_8,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.6_k_10,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.6_k_12,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.6_k_15,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.6_k_6,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.6_k_8,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.8_k_10,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.8_k_12,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.8_k_15,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.8_k_6,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.8_k_8
W1__ACDC_hadoop_mapreduce_focused__ACDC_hadoop_mapreduce_focused,1.0,0.08695652173913043,0.08695652173913043,0.13043478260869565,0.13043478260869565,0.08695652173913043,0.08695652173913043,0.21739130434782608,0.0,0.0,0.0,0.0,0.13043478260869565,0.13043478260869565,0.0,0.0,0.0,0.0,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.08695652173913043,0.08695652173913043,0.13043478260869565,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.08695652173913043,0.08695652173913043,0.0,0.0,0.08695652173913043,0.13043478260869565,0.13043478260869565,0.0,0.043478260869565216,0.08695652173913043,0.13043478260869565,0.13043478260869565,0.0,0.043478260869565216,0.08695652173913043,0.13043478260869565,0.13043478260869565,0.0,0.043478260869565216
W1__LIMBO_IL_thresh100_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_IL_100_clusters,0.02,1.0,0.12,0.14,0.17,0.35,0.63,0.12,0.02,0.02,0.02,0.02,0.02,0.16,0.02,0.02,0.02,0.02,0.02,0.0,0.01,0.03,0.0,0.0,0.02,0.03,0.03,0.0,0.01,0.02,0.03,0.03,0.0,0.01,0.02,0.03,0.03,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0
W1__LIMBO_IL_thresh20_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_IL_20_clusters,0.1,0.6,1.0,0.85,0.8,0.8,0.7,0.15,0.0,0.0,0.0,0.0,0.05,0.25,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.05,0.05,0.05,0.0,0.05,0.05,0.05,0.05,0.0,0.05,0.05,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W1__LIMBO_IL_thresh23_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_IL_23_clusters,0.13043478260869565,0.6086956521739131,0.7391304347826086,1.0,0.8695652173913043,0.782608695652174,0.6956521739130435,0.13043478260869565,0.0,0.0,0.0,0.0,0.043478260869565216,0.21739130434782608,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W1__LIMBO_IL_thresh30_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_IL_30_clusters,0.1,0.5666666666666667,0.5333333333333333,0.6666666666666666,1.0,0.8,0.6666666666666666,0.13333333333333333,0.0,0.0,0.0,0.0,0.03333333333333333,0.2,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W1__LIMBO_IL_thresh50_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_IL_50_clusters,0.04,0.7,0.32,0.36,0.48,1.0,0.84,0.16,0.0,0.0,0.0,0.0,0.04,0.12,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.06,0.0,0.0,0.04,0.06,0.06,0.0,0.02,0.04,0.06,0.06,0.0,0.02,0.04,0.06,0.06,0.0,0.02,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.0,0.0
W1__LIMBO_IL_thresh75_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_IL_75_clusters,0.02666666666666667,0.84,0.18666666666666668,0.21333333333333335,0.26666666666666666,0.56,1.0,0.14666666666666667,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.18666666666666668,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.0,0.013333333333333334,0.04,0.0,0.0,0.02666666666666667,0.04,0.04,0.0,0.013333333333333334,0.02666666666666667,0.04,0.04,0.0,0.013333333333333334,0.02666666666666667,0.04,0.04,0.0,0.013333333333333334,0.0,0.013333333333333334,0.013333333333333334,0.0,0.0,0.0,0.013333333333333334,0.013333333333333334,0.0,0.0,0.0,0.013333333333333334,0.013333333333333334,0.0,0.0,0.0,0.013333333333333334,0.013333333333333334,0.0,0.0
W1__WCA_UEM_thresh100_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEM_100_clusters,0.05,0.12,0.03,0.03,0.04,0.08,0.11,1.0,0.19,0.22,0.29,0.49,0.62,0.69,0.19,0.22,0.29,0.49,0.57,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.04,0.04,0.01,0.01,0.02,0.03,0.04,0.01,0.01,0.02,0.03,0.04,0.01,0.01,0.02,0.03,0.04,0.01,0.01
W1__WCA_UEM_thresh20_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEM_20_clusters,0.0,0.1,0.0,0.0,0.0,0.0,0.05,0.95,1.0,1.0,1.0,1.0,0.95,0.95,1.0,1.0,1.0,1.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
W1__WCA_UEM_thresh23_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEM_23_clusters,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.043478260869565216,0.9565217391304348,0.8695652173913043,1.0,1.0,1.0,0.9565217391304348,0.9565217391304348,0.8695652173913043,1.0,1.0,1.0,0.9565217391304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
