cluster,class,path
0,org.apache.hadoop.mapreduce.JobSubmissionFiles,JobSubmissionFiles.java
0,org.apache.hadoop.mapreduce.protocol.ClientProtocolProvider,protocol/ClientProtocolProvider.java
1,org.apache.hadoop.mapreduce.Cluster,Cluster.java
1,org.apache.hadoop.mapreduce.Job,Job.java
1,org.apache.hadoop.mapreduce.protocol.ClientProtocol,protocol/ClientProtocol.java
1,org.apache.hadoop.mapreduce.tools.CLI,tools/CLI.java
2,org.apache.hadoop.mapreduce.ClusterMetrics,ClusterMetrics.java
2,org.apache.hadoop.mapreduce.Counter,Counter.java
2,org.apache.hadoop.mapreduce.FileSystemCounter,FileSystemCounter.java
2,org.apache.hadoop.mapreduce.ID,ID.java
2,org.apache.hadoop.mapreduce.InputSplit,InputSplit.java
2,org.apache.hadoop.mapreduce.JobCounter,JobCounter.java
2,org.apache.hadoop.mapreduce.JobPriority,JobPriority.java
2,org.apache.hadoop.mapreduce.MRConfig,MRConfig.java
2,org.apache.hadoop.mapreduce.MRJobConfig,MRJobConfig.java
2,org.apache.hadoop.mapreduce.MarkableIteratorInterface,MarkableIteratorInterface.java
2,org.apache.hadoop.mapreduce.Partitioner,Partitioner.java
2,org.apache.hadoop.mapreduce.QueueAclsInfo,QueueAclsInfo.java
2,org.apache.hadoop.mapreduce.QueueState,QueueState.java
2,org.apache.hadoop.mapreduce.TaskCounter,TaskCounter.java
2,org.apache.hadoop.mapreduce.TaskTrackerInfo,TaskTrackerInfo.java
2,org.apache.hadoop.mapreduce.TaskType,TaskType.java
2,org.apache.hadoop.mapreduce.checkpoint.CheckpointID,checkpoint/CheckpointID.java
2,org.apache.hadoop.mapreduce.checkpoint.CheckpointNamingService,checkpoint/CheckpointNamingService.java
2,org.apache.hadoop.mapreduce.checkpoint.EnumCounter,checkpoint/EnumCounter.java
2,org.apache.hadoop.mapreduce.counters.LimitExceededException,counters/LimitExceededException.java
2,org.apache.hadoop.mapreduce.jobhistory.AvroArrayUtils,jobhistory/AvroArrayUtils.java
2,org.apache.hadoop.mapreduce.jobhistory.EventType,jobhistory/EventType.java
2,org.apache.hadoop.mapreduce.jobhistory.Events,jobhistory/Events.java
2,org.apache.hadoop.mapreduce.jobhistory.HistoryEventHandler,jobhistory/HistoryEventHandler.java
2,org.apache.hadoop.mapreduce.jobhistory.HistoryViewerPrinter,jobhistory/HistoryViewerPrinter.java
2,org.apache.hadoop.mapreduce.lib.aggregate.ValueAggregator,lib/aggregate/ValueAggregator.java
2,org.apache.hadoop.mapreduce.lib.aggregate.ValueAggregatorDescriptor,lib/aggregate/ValueAggregatorDescriptor.java
2,org.apache.hadoop.mapreduce.lib.db.DBWritable,lib/db/DBWritable.java
2,org.apache.hadoop.mapreduce.lib.db.OracleDateSplitter,lib/db/OracleDateSplitter.java
2,org.apache.hadoop.mapreduce.lib.fieldsel.FieldSelectionHelper,lib/fieldsel/FieldSelectionHelper.java
2,org.apache.hadoop.mapreduce.lib.input.InvalidInputException,lib/input/InvalidInputException.java
2,org.apache.hadoop.mapreduce.lib.input.SplitLineReader,lib/input/SplitLineReader.java
2,org.apache.hadoop.mapreduce.lib.output.committer.manifest.ManifestCommitterStatisticNames,lib/output/committer/manifest/ManifestCommitterStatisticNames.java
2,org.apache.hadoop.mapreduce.lib.output.committer.manifest.files.AbstractManifestData,lib/output/committer/manifest/files/AbstractManifestData.java
2,org.apache.hadoop.mapreduce.lib.output.committer.manifest.files.DiagnosticKeys,lib/output/committer/manifest/files/DiagnosticKeys.java
2,org.apache.hadoop.mapreduce.lib.output.committer.manifest.files.EntryStatus,lib/output/committer/manifest/files/EntryStatus.java
2,org.apache.hadoop.mapreduce.lib.output.committer.manifest.impl.OutputValidationException,lib/output/committer/manifest/impl/OutputValidationException.java
2,org.apache.hadoop.mapreduce.lib.output.committer.manifest.stages.JobOrTaskStage,lib/output/committer/manifest/stages/JobOrTaskStage.java
2,org.apache.hadoop.mapreduce.lib.output.committer.manifest.stages.StageEventCallbacks,lib/output/committer/manifest/stages/StageEventCallbacks.java
2,org.apache.hadoop.mapreduce.security.SpillCallBackInjector,security/SpillCallBackInjector.java
2,org.apache.hadoop.mapreduce.security.token.delegation.DelegationTokenIdentifier,security/token/delegation/DelegationTokenIdentifier.java
2,org.apache.hadoop.mapreduce.task.annotation.Checkpointable,task/annotation/Checkpointable.java
2,org.apache.hadoop.mapreduce.task.reduce.ExceptionReporter,task/reduce/ExceptionReporter.java
2,org.apache.hadoop.mapreduce.task.reduce.InMemoryWriter,task/reduce/InMemoryWriter.java
2,org.apache.hadoop.mapreduce.task.reduce.ShuffleHeader,task/reduce/ShuffleHeader.java
2,org.apache.hadoop.mapreduce.task.reduce.ShuffleScheduler,task/reduce/ShuffleScheduler.java
2,org.apache.hadoop.mapreduce.util.HostUtil,util/HostUtil.java
2,org.apache.hadoop.mapreduce.util.ResourceBundles,util/ResourceBundles.java
2,org.apache.hadoop.mapreduce.v2.LogParams,v2/LogParams.java
3,org.apache.hadoop.mapreduce.ContextFactory,ContextFactory.java
3,org.apache.hadoop.mapreduce.lib.map.MultithreadedMapper,lib/map/MultithreadedMapper.java
3,org.apache.hadoop.mapreduce.task.MapContextImpl,task/MapContextImpl.java
3,org.apache.hadoop.mapreduce.task.ReduceContextImpl,task/ReduceContextImpl.java
3,org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl,task/TaskAttemptContextImpl.java
4,org.apache.hadoop.mapreduce.CounterGroup,CounterGroup.java
4,org.apache.hadoop.mapreduce.counters.AbstractCounterGroup,counters/AbstractCounterGroup.java
4,org.apache.hadoop.mapreduce.counters.AbstractCounters,counters/AbstractCounters.java
4,org.apache.hadoop.mapreduce.counters.CounterGroupFactory,counters/CounterGroupFactory.java
4,org.apache.hadoop.mapreduce.counters.FileSystemCounterGroup,counters/FileSystemCounterGroup.java
4,org.apache.hadoop.mapreduce.counters.FrameworkCounterGroup,counters/FrameworkCounterGroup.java
4,org.apache.hadoop.mapreduce.util.CountersStrings,util/CountersStrings.java
4,org.apache.hadoop.mapreduce.util.JobHistoryEventUtils,util/JobHistoryEventUtils.java
5,org.apache.hadoop.mapreduce.TaskReport,TaskReport.java
5,org.apache.hadoop.mapreduce.lib.output.FileOutputFormat,lib/output/FileOutputFormat.java
5,org.apache.hadoop.mapreduce.lib.output.MultipleOutputs,lib/output/MultipleOutputs.java
5,org.apache.hadoop.mapreduce.task.TaskInputOutputContextImpl,task/TaskInputOutputContextImpl.java
6,org.apache.hadoop.mapreduce.Counters,Counters.java
7,org.apache.hadoop.mapreduce.CryptoUtils,CryptoUtils.java
7,org.apache.hadoop.mapreduce.JobACL,JobACL.java
7,org.apache.hadoop.mapreduce.counters.Limits,counters/Limits.java
7,org.apache.hadoop.mapreduce.filecache.ClientDistributedCacheManager,filecache/ClientDistributedCacheManager.java
7,org.apache.hadoop.mapreduce.filecache.DistributedCache,filecache/DistributedCache.java
7,org.apache.hadoop.mapreduce.security.TokenCache,security/TokenCache.java
7,org.apache.hadoop.mapreduce.util.MRJobConfUtil,util/MRJobConfUtil.java
8,org.apache.hadoop.mapreduce.InputFormat,InputFormat.java
8,org.apache.hadoop.mapreduce.RecordReader,RecordReader.java
8,org.apache.hadoop.mapreduce.lib.input.CombineFileInputFormat,lib/input/CombineFileInputFormat.java
8,org.apache.hadoop.mapreduce.lib.input.CombineFileRecordReader,lib/input/CombineFileRecordReader.java
8,org.apache.hadoop.mapreduce.lib.input.CombineFileRecordReaderWrapper,lib/input/CombineFileRecordReaderWrapper.java
8,org.apache.hadoop.mapreduce.lib.input.DelegatingInputFormat,lib/input/DelegatingInputFormat.java
8,org.apache.hadoop.mapreduce.lib.input.DelegatingRecordReader,lib/input/DelegatingRecordReader.java
8,org.apache.hadoop.mapreduce.lib.input.FixedLengthInputFormat,lib/input/FixedLengthInputFormat.java
8,org.apache.hadoop.mapreduce.lib.input.FixedLengthRecordReader,lib/input/FixedLengthRecordReader.java
8,org.apache.hadoop.mapreduce.lib.input.KeyValueLineRecordReader,lib/input/KeyValueLineRecordReader.java
